multirange_upper_inf	multirangetypes.rs:5202	operators.rs:660	MATCH	yes
multirange_contains_elem	multirangetypes.rs:5235	operators.rs:177	MATCH	yes
elem_contained_by_multirange	multirangetypes.rs:5257	operators.rs:177	MATCH	yes	dispatch arg-swap of contains_elem
multirange_elem_bsearch_comparison	multirangetypes.rs:5278	operators.rs:136	MATCH	yes
multirange_contains_elem_internal	multirangetypes.rs:5321	operators.rs:177	MATCH	yes
multirange_contains_range	multirangetypes.rs:5346	operators.rs:216	MATCH	yes
range_contains_multirange	multirangetypes.rs:5370	operators.rs:241	MATCH	yes
range_contained_by_multirange	multirangetypes.rs:5394	operators.rs:241	MATCH	yes	dispatch
multirange_contained_by_range	multirangetypes.rs:5418	operators.rs:216	MATCH	yes	dispatch
multirange_range_contains_bsearch_comparison	multirangetypes.rs:5441	operators.rs:191	MATCH	yes
multirange_contains_range_internal	multirangetypes.rs:5461	operators.rs:216	MATCH	yes
range_contains_multirange_internal	multirangetypes.rs:5506	operators.rs:241	MATCH	yes
multirange_eq_internal	multirangetypes.rs:5567	operators.rs:538	MATCH	yes
multirange_eq	multirangetypes.rs:5661	operators.rs:538	MATCH	yes
multirange_ne_internal	multirangetypes.rs:5679	operators.rs:570	MATCH	yes
multirange_ne	multirangetypes.rs:5687	operators.rs:570	MATCH	yes
range_overlaps_multirange	multirangetypes.rs:5705	operators.rs:319	MATCH	yes
multirange_overlaps_range	multirangetypes.rs:5729	operators.rs:319	MATCH	yes
multirange_overlaps_multirange	multirangetypes.rs:5753	operators.rs:341	MATCH	yes
multirange_range_overlaps_bsearch_comparison	multirangetypes.rs:5776	operators.rs:361	MATCH	yes
range_overlaps_multirange_internal	multirangetypes.rs:5796	operators.rs:341	MATCH	yes
multirange_overlaps_multirange_internal	multirangetypes.rs:5839	operators.rs:341	MATCH	yes
range_overleft_multirange_internal	multirangetypes.rs:5918	operators.rs:409	MATCH	yes
range_overleft_multirange	multirangetypes.rs:5967	operators.rs:409	MATCH	yes
multirange_overleft_range	multirangetypes.rs:5991	operators.rs:409	MATCH	yes	dispatch; empty handling matches
multirange_overleft_multirange	multirangetypes.rs:6060	operators.rs:409	MATCH	yes	dispatch
range_overright_multirange_internal	multirangetypes.rs:6125	operators.rs:427	MATCH	yes
range_overright_multirange	multirangetypes.rs:6166	operators.rs:427	MATCH	yes
multirange_overright_range	multirangetypes.rs:6190	operators.rs:427	MATCH	yes	dispatch
multirange_overright_multirange	multirangetypes.rs:6259	operators.rs:427	MATCH	yes	dispatch
multirange_contains_multirange	multirangetypes.rs:6324	operators.rs:267	MATCH	yes
multirange_contained_by_multirange	multirangetypes.rs:6348	operators.rs:267	MATCH	yes	dispatch
multirange_contains_multirange_internal	multirangetypes.rs:6372	operators.rs:267	MATCH	yes	tandem walk; pre-increment semantics preserved
range_before_multirange	multirangetypes.rs:6451	operators.rs:445	MATCH	yes
multirange_before_range	multirangetypes.rs:6473	operators.rs:445	MATCH	yes
multirange_before_multirange	multirangetypes.rs:6495	operators.rs:464	MATCH	yes
range_after_multirange	multirangetypes.rs:6519	operators.rs:445	MATCH	yes
multirange_after_range	multirangetypes.rs:6541	operators.rs:445	MATCH	yes
multirange_after_multirange	multirangetypes.rs:6563	operators.rs:464	MATCH	yes
range_before_multirange_internal	multirangetypes.rs:6587	operators.rs:445	MATCH	yes
multirange_before_multirange_internal	multirangetypes.rs:6628	operators.rs:464	MATCH	yes
range_after_multirange_internal	multirangetypes.rs:6672	operators.rs:445	MATCH	yes
range_adjacent_multirange_internal	multirangetypes.rs:6721	operators.rs:501	MATCH	yes
range_adjacent_multirange	multirangetypes.rs:6778	operators.rs:501	MATCH	yes
multirange_adjacent_range	multirangetypes.rs:6802	operators.rs:501	MATCH	yes
multirange_adjacent_multirange	multirangetypes.rs:6831	operators.rs:501	MATCH	yes
multirange_cmp	multirangetypes.rs:6918	setops_ordering_agg.rs:315	MATCH	yes	type-match elog, tandem bound compare, shorter-comes-first
multirange_lt	multirangetypes.rs:7058	setops_ordering_agg.rs:361	MATCH	yes	sign of cmp
multirange_le	multirangetypes.rs:7063	setops_ordering_agg.rs:370	MATCH	yes
multirange_ge	multirangetypes.rs:7068	setops_ordering_agg.rs:379	MATCH	yes
multirange_gt	multirangetypes.rs:7073	setops_ordering_agg.rs:388	MATCH	yes
range_merge_from_multirange	multirangetypes.rs:7078	setops_ordering_agg.rs:289	MATCH	yes	empty->empty; single->get_range; else first-lower..last-upper via make_range
multirange_unnest	multirangetypes.rs:7148	operators.rs:682	MATCH	yes	SRF materialized as in-order Vec of member ranges
hash_multirange	multirangetypes.rs:7199	setops_ordering_agg.rs:414	MATCH	yes	hash_uint32==hash_bytes_uint32; flags^lower, rotl(1), ^upper; (r<<5)-r+rh wrapping
hash_multirange_extended	multirangetypes.rs:7335	setops_ordering_agg.rs:479	MATCH	yes	seeded variant; rotate_high_and_low_32bits mixer
