unit	c_sources	status	crate	bench_ratio	notes
types-storage	-	benched	types_storage	0.85-0.92x-instr/1.00-1.07x-ns(itemid)	fabled:types-storage; m1-spine; 17 vocab modules, repr(C)+size asserts on LOCKTAG/buftag; ilist as raw two-word nodes (no drop glue); residuals in notes/deferred.md (LOCKMODE triplication, cold std-collection shapes for future owners); 5 tests, density 4.7%; hot ItemId decode/encode lanes PASS dual gate (~1.00x both; residual 1.06x harness-loop addressing, asm-proven identical per-item ops); 2026-07-02: PageRef::item_id_unchecked/item_raw_unchecked added (C PageGetItemId/PageGetItem shape, debug_assert'd; SAFETY = one per-page pd_lower check hoisted by heapam + writer-maintained page invariant) — the release asserts were the top read-composition per-tuple tax; checked accessors kept for one-shot callers; rest cold vocabulary (PGPROC/lock/sinval/fd/smgr/latch, per-backend lifecycle); 16/16 tests, layouts const-asserted vs C headers, density 4.7%; watch item Rc<RefCell> BufferAccessStrategy for freelist.c; Graviton official 2026-07-02: PASS (decode 0.85x/1.07x, encode 0.92x/1.04x, ns in-band + asm proof; clang-14 C ref would have faked 0.55x - toolchain rule demonstrated); docs/benchmarks/types_storage.md; docs/optimizations/types_storage-parity.md
types-rel	-	ported	types_rel	cold	fabled:types-rel; m1-spine; Relation RAII guard, Rc strong count IS rd_refcnt (rule 2), close(lockmode) consumes, Drop = abort-path NoLock close; lean decode-once pg_class/pg_index Forms; 16 tests, density 4.0%; cold: rel.h vocabulary + field accessors — relcache probe path is a later unit; Rc sanctioned (C refcounts relcache entries), decode-once rd_rel Form; 5/5 tests, density 4.0%; 2026-07-02 rd_locator+rd_smgr LANDED (session four-rocks): rd_locator Cell<RelFileLocator> (RelationInitPhysicalAddr writes, relcache build/reload/initfile/mapped-refresh wired, C relcache.c steady-state arms; historic-snapshot + parallel-worker subid arms unported), rd_smgr Cell<Option<SmgrHandle>> (no-lifetime Copy payloads keep RelationData covariant per rd_indexlist precedent); all ~39 literal init sites updated (tests Default::default())
types-hash	-	ported	types_hash	cold	fabled:types-hash; m1-spine; dynahash+hash-AM vocabulary, constants vs C headers; monomorphization boundary drawn: dynahash ONLY for shared/partitioned tables, private hot tables (relcache/typcache/plancache/smgr/portal) MUST use PgHashMap per rule 9; 5 tests, density 4.6%
types-nbtree	-	ported	types_nbtree	cold	fabled:types-nbtree; m1-spine; on-page structs offset-asserted vs nbtree.h; BTScanPos items as MaybeUninit (kills fabled 27KB/scan memset); fabled gaps fixed (MIN_FILLFACTOR, 4 missing proc numbers); vacuum/dedup/parallel shapes deferred to their units; bench _bt_compare at nbtree-core; 5 tests, density 4.7%
types-slot	-	benched	types_slot	0.93x-instr/0.90x-ns	substrate; fabled:types-slot; m1-spine; TupleTableSlot types; PASS dual gate OFFICIAL Graviton (job pgrust-fast-microbench-1783021028, clang-16 -mcpu=neoverse-v2): slot_getattr hit path 0.93x instr (14 vs 15) / 0.90x ns, noalias hoists slot loads clang must reload; TTS flag values fixed vs fabled divergence (C 18.3 1<<1..1<<4); ops table -> TupleSlotKind enum per rule 4; 4/4 tests, Miri clean, density 4.2%; deform-miss re-verdict when execTuples lands exectuples_ lanes; docs/benchmarks/types_slot.md; 2026-07-02 repr(C,u8) SlotData + repr(C) base-first payloads (job -1783044468): uniform SlotBase offset (C member-at-offset-0 inheritance) -> base()/base_mut() constant GEP, generic per-access variant probe GONE; exectuples generic getattr 1.40x->1.00x, execexpr interp lanes -9/-10 instr; kills the 'hot callers must hold concrete kind' constraint
types-snapshot	-	ported	types_snapshot	cold	substrate; fabled:types-snapshot; m1-dep(stub-ok); snapshot.h vocabulary; cold: snapshot.h vocabulary + HTSV_Result; visibility hot loops land in heapam/procarray; 4 tests, density 4.5%
types-nodes	-	in-progress	types_nodes	0.34-1.00x-instr/0.23-0.93x-ns(core)	substrate; fabled:types-nodes; m1-spine; Node trees + EEOP interpreter (fabled execexpr.rs lives here); phase 1 BENCHED: opaque Node (tag-at-0, 480 tags parity-tested vs nodetags.h) + List + Bitmapset; all 14 hot ops PASS dual gate (lappend 0.34-0.73x instr, bms 0.52-0.71x, foreach 0.44-0.73x); 10 tests, Miri clean both modes, density 3.5%; phase 2 DONE: SELECT 1 parse/analyze node set (21 variants, field-order-verified vs vendored 18.3 headers), NodeMut construction-scoped mutation (C makeNode-then-fill shape, zero indirection/drop glue), 16 tests Miri-clean, density 2.4%; phase 3 DONE: PlannedStmt(26 fields incl planId)/Plan base/Result, repr(C) base-first embedding w/ offset asserts, setrefs mutation = tag-checked scoped with_mut (Miri caught+fixed mk provenance bug); SELECT 1 node vocab complete RawStmt->Query->PlannedStmt->Result; 19 tests Miri-clean both modes, density 3.2%; next: pathnodes vocab (claimed by parallel session) + planner spine; docs/optimizations/types_nodes-parity.md; WATCH: mk_a_expr inits rexpr_list_start/end=-1 where C leaves 0 (found by gram_core tree parity, worked around there — fix here); +SortGroupClause (parsenodes.h field-order-pinned) 2026-07-02 for the sort lane; gap-fill 2026-07-02: +FetchStmt/FetchDirection/FETCH_ALL in parsenodes (field order pinned vs parsenodes.h), types_portal re-exports; 2026-07-02 InsertStmt raw node + ModifyTable plan node (PlanVariant, field order per plannodes.h); SRF-minimal 2026-07-02: +RangeFunction (rawnodes), RangeTblFunction (parsenodes), FunctionScan (plannodes, PlanVariant+offset asserts+is_plan_tag), supportnodes.rs (SupportRequestRows/Cost, stack nodes for prosupport calls); 2026-07-03 tz-surface: SQLValueFunction node (15 SVFOp variants C order) + walker/leaf plumbing; 2026-07-03 catalog-hygiene: rolling substrate row, kept in-progress; git log on crates/_support/types/nodes shows continuous Node-vocab growth from many lanes: tz-surface (SQLValueFunction), memoize-land re-splices, extension (7d7d309f), merge (01ad2bc4), arrays-tier2-land (SubscriptingRef arms), operator-lane, plpgsql infra (PLAssignStmt, 7c69a107), lateral (8cbbde09), matview/rules; substrate keeps absorbing vocab as ports land — no completion criterion yet
types-pathnodes	-	ported	types_pathnodes	cold	fabled:types-pathnodes ENDPOINT (PtId arena handles #295, Rc<IndexOptInfo> Cell-on-C-mutated-fields #356, Rc<SpecialJoinInfo> #401, scansel_cache present w/ lesson-10 comment); day-one upgrade: fabled retrofit-residue std fields -> PgVec/PgString in planner mcx; NodeId boundary to in-flight types_nodes documented; 6 tests, density 2.3%; ArenaNode::Expr bridge + types_nodes dep added by the planner port (crate-doc deferral discharged); cold: planner node vocabulary; per-statement cost owned by the planner row's gates
types-portal	-	ported	types_portal	cold	substrate; fabled:types-portal; m1-spine; Portal types; cold: per-statement portal bookkeeping; cmdtag positions verified vs cmdtaglist.h, cleanup as closed-set enum per rule 4; 4 tests, density 4.3% stmt-primitives FAIL-close batch 2026-07-02 (verdict job pgrust-fast-microbench-1783031563, record docs/benchmarks/stmt-primitives.md): additive Portal::is_unique (Rc strong count) as the portal-slot-reuse alias gate; cold-audit 2026-07-02: vocabulary; the per-statement portal cycle is benched at stmt_portal_cycle (stmt-primitives.md)
types-array	-	ported	types_array	cold	substrate; fabled:types-array; m1-spine; ArrayType types; cold: array.h header layout only (16/24/24B const-asserted); ARR_* decode lanes land in arrayfuncs; 2 tests, density 4.6%
common-controldata-utils	src/common/controldata_utils.c	ported	controldata_utils	cold	m1-spine(boot); C-exact get/update_controlfile; REAL initdb pg_control fixture, byte-identical re-encode, offsets const-asserted vs clang offsetof dump; xlog lane divergence flagged+relayed; 9 tests, density 2.7%; cold: boot-once pg_control read/write, no post-boot caller on M1-M3
common-hashfn	src/common/hashfn.c,src/include/common/hashfn.h	benched	hashfn	0.67-1.00x-instr/0.86-1.03x-ns	m1-spine; fabled:common-hashfn; decomposes hashfn.c out of common-batch{1,2,3,4,6,7,8,9,11,15,17,19,21,23} todo rows (those rows keep their other c_sources); PASS dual gate on Graviton4 (job pgrust-fast-microbench-1783016398, C=clang-16 -mcpu=neoverse-v2 per docs/graviton.md): hash_bytes 4-256B aligned 0.73-1.00x-instr/0.94-1.00x-ns, unaligned 0.67-0.99x/0.86-0.99x (single LE word-load path replaces C's aligned/unaligned pair; len<=4 fall-through block for Oid keys), hash_ext_32 0.98x/1.03x(noise), hash_uint32 0.97x/1.01x(noise); KAT tests pinned to vectors generated from vendored hashfn.c (tests/data/gen_vectors.c, 4000+ vectors), no unsafe (no Miri needed), no seams (no dependents yet); FxHasher intentionally not carried from fabled; docs/benchmarks/hashfn.md
backend-access-brin-core	-	combined-into:backend-access-brin-family			fabled:backend-access-brin-family
backend-access-brin-entry	src/backend/access/brin/brin_minmax_multi.c	ported	brin_minmax_multi	cold(opclass; not on M-spine)	fabled:minmax_multi (rewritten: FmgrInfo carriers not per-call OID resolve); opcinfo/add_value/consistent(multi-key)/union/serialize direct-dispatch on BrinOpcKind::MinMaxMulti; bv_mem_value+serialize hook in brin_form_tuple; oversized insert buffer + greedy compaction; pg_qsort port for C tie parity (byte-identical summaries); 17 distance fns + summary_in/recv as late fmgr builtins; LOUD: summary_send (binary copy); summary_out PORTED 2026-07-19 by CONTRIB-INSPECT lane (brin_range_deserialize + per-type output fns + anyarray_out); opclass options unported -> values_per_range always 32
backend-access-brin-bloom	src/backend/access/brin/brin_bloom.c	ported	brin_bloom	cold(index build/scan summary maintenance; per-tuple work = hash calls through a pre-resolved FmgrInfo, same shape as landed minmax)	fabled:backend-access-brin-bloom; idxam-brin-sub 2026-07-04: full port — C-layout BloomFilter varlena (byte-identical on disk incl pad), sizing math, k-hash add/contains/union+popcount, summary I/O 4595-4599 (in/recv 0A000 C-exact, out live, send=byteasend; options loud behind loud ComputeIndexAttrs attoptions gate ⇒ defaults-only, C opts==NULL path); support-proc via get_opfamily_proc rule-5 cache (minmax precedent); audit notes/audits/brin-opclasses.md PASS; FLEET pgrust-fast-tests-9699a0e60d-1783187174 @9699a0e60 FULL PASS: brin-opclass-e2e (bloom int4/int8/text + inclusion inet/int4range index files byte-identical vs C lsn-masked; plans+results byte-match C same-datadir; unmergeable v6-into-v4 + contains_empty insert paths; crash recovery) + brin-e2e regression PASS + regress-diff 630 lines PASS + crash smoke PASS + 11-crate tests green; pg_regress movement brin 179->177, brin_bloom 145/406 + brin_multi 208/978 unchanged (test_setup seg1 harness-blocked both sides, pre-existing)
backend-access-brin-inclusion	src/backend/access/brin/brin_inclusion.c	ported	brin_inclusion	cold(same rationale as brin_bloom)	fabled:backend-access-brin-inclusion; idxam-brin-sub 2026-07-04: full port — 3-datum summary (union/unmergeable/contains_empty), all RT strategy arms incl negated-converse placement, merge/mergeable/contains/empty lazy procs + per-subtype strategy cache; inet+range e2e-verified; audit notes/audits/brin-opclasses.md PASS; FLEET pgrust-fast-tests-9699a0e60d-1783187174 @9699a0e60 FULL PASS: brin-opclass-e2e (bloom int4/int8/text + inclusion inet/int4range index files byte-identical vs C lsn-masked; plans+results byte-match C same-datadir; unmergeable v6-into-v4 + contains_empty insert paths; crash recovery) + brin-e2e regression PASS + regress-diff 630 lines PASS + crash smoke PASS + 11-crate tests green; pg_regress movement brin 179->177, brin_bloom 145/406 + brin_multi 208/978 unchanged (test_setup seg1 harness-blocked both sides, pre-existing)
backend-access-brin-minmax	src/backend/access/brin/brin_minmax.c	ported	brin_minmax	cold	fabled:backend-access-brin-minmax; opcinfo/add_value/consistent/union direct-dispatch on BrinOpcKind; strategy procs via get_opfamily_member+get_opcode+fmgr_info with per-subtype rule-5 cache
backend-access-brin-pageops	src/backend/access/brin/brin_pageops.c,src/backend/access/brin/brin_revmap.c	ported	brin_pageops	cold	fabled:backend-access-brin-pageops; doinsert/doupdate/getinsertbuffer/evacuate + full revmap incl desummarize producer; brinGetTupleForHeapBlock narrowed to copy-out (C no-copy pointer; all C callers copied immediately); brin_page_cleanup live (brin-vacuum-reconcile 2026-07-05); targblock on smgr_targblock (C rd_smgr shape; truncate-safe)
backend-access-brin-revmap	-	combined-into:backend-access-brin-pageops			fabled:merged-into
backend-access-brin-scan	src/backend/access/brin/brin.c	ported	brin,brin_build	cold(DDL/bitmap-scan lane; not on M1 spine)	fabled:backend-access-brin-scan; 2026-07-03 brin-lane: build/insert/bitmap-scan live (brin_build split like nbtsort for the execindexing cycle); LOUD: summarize/desummarize SQL fns, autosummarize, reloptions, parallel build, buildempty(unlogged), non-minmax opclasses; ii_AmCache rides IndexInfo Box<dyn Any> slot (gist-settled signature); 2026-07-05 sweep-smalls-3: +brinbuildempty (INIT_FORKNUM metapage); 2026-07-05 batch-fmgr-tail: brin_summarize_range/new_values/desummarize 3999/3952/4014 (brin_funcs crate) + brinsummarize/summarize_range engine + table_index_build_range_scan anyvisible seam in execindexing; 2026-07-05 brin-vacuum-reconcile: +brinbulkdelete/brinvacuumcleanup on the fmgr-tail engine (brin_vacuum_scan/brin_page_cleanup; indexam_seams::brin_vacuum_cleanup breaks the execindexing->indexam cycle; C aliases &stats->num_index_tuples into both brinsummarize out-params — vacuum sums the pair); still LOUD: autosummarize
backend-access-brin-tuple	src/backend/access/brin/brin_tuple.c	ported	brin_tuple	cold	fabled:backend-access-brin-tuple; on-disk byte-exact (heap_fill_tuple over eager disk tupdesc); TOAST_INDEX_HACK live via toast_compress_datum seam; memtuple owns a bump ctx (C aset pfree of replaced values = bump-until-reset divergence, bounded per range)
backend-access-brin-validate	src/backend/access/brin/brin_validate.c	ported	brin_validate	cold(DDL-time validator)	idxam-brin-sub 2026-07-04: brinvalidate full port wired into amapi::amvalidate; brinadjustmembers no-op (C amadjustmembers NULL); audit notes/audits/brin-opclasses.md PASS; FLEET pgrust-fast-tests-9699a0e60d-1783187174 @9699a0e60 FULL PASS: brin-opclass-e2e (bloom int4/int8/text + inclusion inet/int4range index files byte-identical vs C lsn-masked; plans+results byte-match C same-datadir; unmergeable v6-into-v4 + contains_empty insert paths; crash recovery) + brin-e2e regression PASS + regress-diff 630 lines PASS + crash smoke PASS + 11-crate tests green; pg_regress movement brin 179->177, brin_bloom 145/406 + brin_multi 208/978 unchanged (test_setup seg1 harness-blocked both sides, pre-existing)
backend-access-brin-xlog	src/backend/access/brin/brin_xlog.c	ported	brin_xlog	cold	fabled:backend-access-brin-xlog; all 6 redo ops live + registered in rmgr; brin_mask stays LOUD with every AM mask (wal-consistency lane); brindesc/brin_identify ported into rmgrdesc
backend-access-common-heaptuple	src/backend/access/common/heaptuple.c(partial)	benched	heaptuple	0.90x-slope-instr/0.98-1.07x-ns	m1-spine; single-pass contiguous image build (rule 8), whole-word header stores (V2 forwarding); per-attr slope 0.90x beats C, form4/modify/datasize at-or-below parity; form1 +23-instr fixed tax documented (mcx charge + PgResult plumbing); 15 tests, Miri SB+TB; docs/benchmarks/heaptuple.md
backend-access-common-indextuple	src/backend/access/common/indextuple.c	ported	nbtree		fabled:backend-access-common-indextuple; 2026-07-04 am-tail lane rescore: hosted in nbtree::itup since the nbtree core landed — index_form_tuple (+shift arm), copy_index_tuple (CopyIndexTuple), index_truncate_tuple, index_getattr/nocache_index_getattr (attcacheoff live), consumed cross-AM (gin entrypage, nbtsort, hash, gist); index_deform_tuple rendered as spgist utils index_deform_tuple_internal + nodeindexonlyscan StoreIndexTuple in-place deform loop (no other in-core caller); index_form_tuple_context collapsed into the mcx parameter; 2026-07-06 compression-lane: TOAST_INDEX_HACK arms ported (external detoast + in-line compress > TOAST_INDEX_TARGET via heaptoast_seams::toast_compress_datum, brin_form_tuple template); BUILD-CONFIG DIVERGENCE (not a gap): build has no lz4, regress `compression` scores 102/102 against the compression_1.out alternate oracle exactly as a C build without --with-lz4 does (pg_regress selected the alternate itself); if the project ever builds --with-lz4 the oracle flips to the primary expected file and the lz4 compress/decompress paths (today C's not-supported error, ported in tablecmds::GetAttributeCompression) become real port scope
backend-access-common-more	src/backend/access/common/printtup.c,src/backend/access/common/reloptions.c	ported	printtup		fabled:backend-access-common-reloptions + backend-access-common-printtup; m1-spine; 2026-07-02 printtup fix (this session): binary result-format row path — PrinttupSend per-row send ctx switched to bump (wholesale reset; Aset accounting asserted the unfreed bytea as a leak, killing the row + diverging DataRow bytes vs live PG); extended_query_session_matches_live_pg_trace byte-identical again under debug assertions | fabled:backend-access-common-reloptions + backend-access-common-printtup; m1-spine; 2026-07-02 printtup fix (this session): binary result-format row path — PrinttupSend per-row send ctx switched to bump (wholesale reset; Aset accounting asserted the unfreed bytea as a leak, killing the row + diverging DataRow bytes vs live PG); extended_query_session_matches_live_pg_trace byte-identical again under debug assertions; 2026-07-03 reloptions lane: reloptions.c split to its own row (backend-access-common-reloptions); 2026-07-04 rescore-2: dup purge — reloptions.c split to its own ported row (backend-access-common-reloptions); printtup.c DestRemote/DestRemoteExecute path ported in crate printtup (registered via tcop dest receiver set); 2026-07-03 createtype lane: printtup send_ctx also armed when any output fn is user-defined (>= FirstNormalObjectId) — result-mcx convention for fixed-length user out fns (widget); builtin fast path untouched
backend-access-common-next	src/backend/access/common/attmap.c,src/backend/access/common/tupconvert.c	ported	tupdesc,heaptuple,exectuples		fabled:backend-access-common-next; m1-spine; 2026-07-03 partidx-ddl lane: build_attrmap_by_name (attmap.c) hosted in tupdesc crate (loud on mismatch/quoting arms); 2026-07-04 vacuum-analyze lane: convert_tuples_by_name (tupdesc; identity-map None per check_attrmap_match) + execute_attr_map_tuple (heaptuple; deform/remap/form) for inherited-ANALYZE rowtype conversion; build_attrmap_by_name pre-existing in tupdesc; 2026-07-04 am-tail lane COMPLETE: build_attrmap_by_position, build_attrmap_by_name_if_req, check_attrmap_match extraction, convert_tuples_by_position, convert_tuples_by_name_attrmap (tupdesc); execute_attr_map_slot (exectuples slots.rs); build_attrmap_by_name loud arms replaced with C ereports (ERRCODE_DATATYPE_MISMATCH could-not-convert-row-type + errdetail); make_attrmap is the PgVec alloc inline
backend-access-common-relation	src/backend/access/common/relation.c	ported	relation	m2-point-gate: composed point 1.362x-instr/1.016x-ns, fullscan 1.353x/1.164x (seqscan slope CONFIRMED +~68/row extra in agg composition), orderby 1.192x/1.133x - ALL FAIL (job 1783063739 @ 5d9dd99; docs/benchmarks/m2-point-gate.md)	fabled counterpart deleted-workaround class; m1-spine; installs relation_seams (table.c signatures verified vs C); relcache close = pure Rc drop (no by-OID seam), lock half via installed closer, drop = abort path; 6 owner seam crates created; 12 tests, density 1.7%; cold-audit 2026-07-02: retag m2-point-gate (relation_open/close per statement per rel on M2; lock+relcache cores benched)
backend-access-common-small	src/backend/access/common/bufmask.c,src/backend/access/common/printsimple.c,src/backend/access/common/scankey.c,src/backend/access/common/session.c,src/backend/access/common/toast_compression.c	ported	bufmask		2026-07-04 am-tail lane: bufmask.c -> bufmask crate (no_std, zero-alloc, PageMut/ItemIdData accessors; MASK_MARKER=0) + gin/gist/spg/hash/generic mask callbacks LIVE in their xlog crates (were loud; heap/btree/seq/brin masks stay with their unit owners in rmgr unported_mask); fleet pgrust-fast-tests-2af68622c5-1783207730 PASS (bufmask 6/6, generic_xlog 6/6, crash smoke byte-identical); scankey.c hosted as types_scan::scankey ScanKeyData direct construction (C init helpers are plain field stores); toast_compression.c hosted in heaptoast internals (pglz_compress_datum + pglz crate; lz4 arm = PgResult error, no-USE_LZ4 parity); printsimple.c non-core (DestRemoteSimple = walsender-only, walsender non-core; dest crate loud arm); session.c InitializeSession existence bit in session crate, DSM session surface skipped by design (threads share the address space, docs/parallel-query-design.md; GetSessionDsmHandle named panic)
backend-access-common-tidstore	src/backend/access/common/tidstore.c	benched	tidstore		fabled:backend-access-common-tidstore; BlocktableEntry as radixtree VARLEN/RUNTIME_EMBEDDABLE header-prefix value (direct dep, no seam), layout-asserted vs C; shared flavor thread-native over SharedRadixTree w/ RAII lock guards; Attach/Detach/GetHandle/GetDSA loud (parallel-vacuum lane); set_inline 1.07x instr justified: ns parity 0.99-1.01 x3 runs, +10.6 instr fixed on ~12ns op, substrate lanes PASS — /asm-diff follow-up; 11 tests incl. test_tidstore vectors + BTreeMap/BTreeSet model + 4-thread shared test; consumer WIRED: vacuumlazy dead items (rock cleared, regress byte-identical); jobs pgrust-tidstore-bench-98ef52c9fe-1783191904 (bench of record) + pgrust-fast-tests-98ef52c9fe-1783191901; audit + Miri flagged for follow-up lane; docs/benchmarks/tidstore.md
backend-access-common-detoast	src/backend/access/common/detoast.c	ported	detoast	cold	m1-spine; inline-compressed + short-header arms live (varlena consumer wired); external fetch LIVE via toast_internals_seams (heaptoast installs toast_fetch_datum/_slice 2026-07-02); lz4 0A000, corrupt XX001; 11 tests, Miri, density 5.0%; cold: no toasted values on M1-M3 (inline int/char columns); per-datum arms bench when a toast-bearing workload lands; READ ARMS LIVE 2026-07-03 (toast-read lane): fmgr arg_varlena_packed = pg_detoast_datum_packed via detoast_seams (all fc_* consumers detoast; cold-outlined), detoast_attr_slice seam decl added + installed, text_substring ported (both encoding arms) + bytea_substring rewired to the slice fetch, datumCopy toast-pointer verbatim copy in agg_datum_copy + nodeSubplan (expanded loud), nbtree 360 fast-cmp guarded to inline images (toasted keys take the generic proc = loud until frame arming); e2e toast-e2e.sh vs Homebrew 18: 100KB compressed+uncompressed round trips, slice fetch, UPDATE pointer copy, VACUUM, C-writes-we-read interop ALL byte-identical; 2026-07-05 batch-fmgr-tail w2: varatt_is_external_ondisk + toast_get_compression_id for pg_column_* fns
backend-access-common-toastdesc	src/backend/access/common/toast_internals.c	ported	toastdesc	cold	m1-spine; toast-pointer vocabulary (18B on-disk image, unaligned codecs, C uint32<int wrap semantics exact); chunked save/fetch landed in heaptoast 2026-07-02; 5 tests, density 4.5%; cold: toast-pointer vocabulary; consumers are the cold detoast/toast write paths
backend-access-common-tupdesc	src/backend/access/common/tupdesc.c	ported	tupdesc	cold	m1-spine; Rc strong count IS the refcount (rel.rs precedent); attcacheoff reset-to--1 + lazy arm via deform lanes; TupleDescGetDefaultBin until read.c (no stub); attmissing datum kernels flagged for datum.c-unit reconciliation; future bench: equalTupleDescs/hashRowType at plancache; 13 tests, density 3.0%; cold: tupdesc build/compare is relcache-build/DDL time; per-row attr access lives in benched deform lanes
backend-access-gin-core-probe	-	combined-into:backend-access-gin-core			fabled:backend-access-gin-core-probe
